,platform,read_queries,write_queries,other_queries,total_queries,transactions,latency_min,latency_max,latency_avg,time_total
0,gvisor,70850,0,14170,85020,7085,18.24,54.89,28.24,20.0291
1,gvisor,72380,0,14476,86856,7238,29.81,98.33,55.33,20.0598
2,gvisor,72820,0,14564,87384,7282,40.75,142.28,82.55,20.1032
3,gvisor,72700,0,14540,87240,7270,49.7,186.56,110.28,20.1326
4,gvisor,72310,0,14462,86772,7231,64.81,248.02,138.8,20.2162
5,gvisor,71440,0,14288,85728,7144,80.91,312.73,168.46,20.2271
6,gvisor,71040,0,14208,85248,7104,89.26,350.93,197.83,20.2761
7,gvisor,70000,0,14000,84000,7000,18.26,52.06,28.59,20.0263
8,gvisor,71600,0,14320,85920,7160,29.58,96.58,55.91,20.0529
9,gvisor,70960,0,14192,85152,7096,45.33,150.64,84.72,20.1019
10,gvisor,71940,0,14388,86328,7194,52.62,184.3,111.45,20.1389
11,gvisor,71070,0,14214,85284,7107,59.92,242.85,141.11,20.1903
12,gvisor,71620,0,14324,85944,7162,78.38,270.36,168.08,20.2303
13,gvisor,71150,0,14230,85380,7115,61.14,314.8,197.45,20.2719
14,gvisor,69710,0,13942,83652,6971,17.29,54.9,28.7,20.0234
15,gvisor,71330,0,14266,85596,7133,26.14,102.48,56.14,20.0593
16,gvisor,71260,0,14252,85512,7126,42.18,144.98,84.32,20.0945
17,gvisor,71690,0,14338,86028,7169,52.66,181.68,111.82,20.142
18,gvisor,71590,0,14318,85908,7159,67.31,248.72,140.11,20.1974
19,gvisor,70930,0,14186,85116,7093,74.77,299.49,169.75,20.2304
20,gvisor,70690,0,14138,84828,7069,88.53,343.14,198.81,20.2879
21,gvisor,69880,0,13976,83856,6988,18.16,53.98,28.63,20.0237
22,gvisor,71050,0,14210,85260,7105,29.95,105.53,56.35,20.053
23,gvisor,71080,0,14216,85296,7108,40.38,137.86,84.63,20.1195
24,gvisor,71320,0,14264,85584,7132,58.97,199.13,112.44,20.143
25,gvisor,71150,0,14230,85380,7115,59.05,249.24,140.96,20.1896
26,gvisor,70850,0,14170,85020,7085,80.01,301.08,170.01,20.2427
27,gvisor,70840,0,14168,85008,7084,86.72,339.64,198.42,20.2778
28,gvisor,70200,0,14040,84240,7020,18.15,59.27,28.51,20.0279
29,gvisor,70940,0,14188,85128,7094,26.33,95.45,56.44,20.052
30,gvisor,71590,0,14318,85908,7159,43.87,145.21,83.98,20.1071
31,gvisor,71770,0,14354,86124,7177,56.48,179.51,111.69,20.1376
32,gvisor,71070,0,14214,85284,7107,58.4,232.49,141.06,20.1904
33,gvisor,70820,0,14164,84984,7082,67.58,297.99,170.0,20.2378
34,gvisor,70570,0,14114,84684,7057,88.42,340.18,199.11,20.2741
35,gvisor,69840,0,13968,83808,6984,18.87,56.42,28.65,20.0257
